year,week,flu_pos_total,covid_pos_total,rsv_pos_total,GRIPE_index,VRS_index,COVID_index
2025,40,32,118,1,0.3217629753984816,0.03839987395797102,0.14389146061476962
2025,41,40,79,4,0.3007188458027516,0.034632035950101094,0.14100697404862517
2025,42,55,81,2,0.24232777316058132,0.039988117531352514,0.13568131153235258
2025,43,54,52,17,0.20287776958344844,0.060279459056985056,0.11808326945140413
2025,44,70,40,3,0.26412289538176126,0.04059361219085312,0.11643009750746487
2025,45,111,31,14,0.2204654385552262,0.06569231767031128,0.14337725829753653
2025,46,161,21,23,0.1697372545129481,0.06749828682547764,0.20402756199447594
2025,47,238,10,35,0.2262432321332009,0.05699768726455451,0.18915301407149712
2025,48,282,19,42,0.17244364215180838,0.06952296219813797,0.2382612382659198
2025,49,524,21,45,0.16367400802818,0.07027428278071636,0.2659311130923151
2025,50,470,6,46,0.15623268877834143,0.06326253263789608,0.31567758649418504
2025,51,441,12,60,0.18826631584826753,0.08773359914791519,0.3879579614739175
2025,52,0,0,0,0.25547658499080306,0.08360131239172375,0.418986735625411
2026,1,0,0,0,0.27561251811785165,0.0695529453102309,0.40625573166169965
